"DateAware","DateSubmitted","DataBreachCause","DateStart","DateEnd","Name","Id","CyberattackType","WashingtoniansAffected","IndustryType","BusinessType","Year","YearText","WashingtoniansAffectedRange","BreachLifecycleRange","DaysToContainBreach","DaysToIdentifyBreach","DaysBreachLifecycle","DiscoveredInProgress","DaysOfExposure","DaysElapsedBetweenEndAndDiscovery","EndedOnDayDiscovered","DaysElapsedBeforeNotification","DaysOfExposureRange","EntityState"
"2021 Feb 04 12:00:00 AM","2021 Mar 17 12:00:00 AM","Cyberattack","2021 Feb 04 12:00:00 AM","2021 Feb 08 12:00:00 AM","Automatic Funds Transfer Services Inc.","10,427","Ransomware","695","Finance",,"2,021","2021","500-999","1-99","4","0","4","true","4",,"false","41","1-99",
"2019 Dec 20 12:00:00 AM","2021 Mar 17 12:00:00 AM","Cyberattack",,,"PCS Revenue Control Systems","10,428","Phishing","11,807","Business","Professional Services","2,021","2021","10,000-49,999","Unknown",,,,"false",,,"false","453","Unknown",
"2021 Feb 22 12:00:00 AM","2021 Mar 17 12:00:00 AM","Cyberattack","2020 Dec 24 12:00:00 AM","2020 Dec 29 12:00:00 AM","Western Union Retail Money Transfer Partner","10,429","Malware","1,555","Finance",,"2,021","2021","1,000-9,999","1-99","0","60","60","false","5","55","false","23","1-99",
"2020 May 24 12:00:00 AM","2021 Mar 18 12:00:00 AM","Cyberattack","2020 May 24 12:00:00 AM",,"Manson Counstruction Co.","10,430","Unclear/unknown","1,049","Business","Construction","2,021","2021","1,000-9,999","Unknown",,"0",,"false",,,"false","298","Unknown",
"2021 Jan 18 12:00:00 AM","2021 Mar 19 12:00:00 AM","Cyberattack","2021 Jan 12 12:00:00 AM","2021 Jan 18 12:00:00 AM","Cancer Treatment Centers of America","10,431","Phishing","579","Health",,"2,021","2021","500-999","1-99","0","6","6","true","6",,"true","60","1-99",
"2020 Nov 29 12:00:00 AM","2021 Mar 19 12:00:00 AM","Cyberattack","2020 Nov 18 12:00:00 AM","2020 Nov 29 12:00:00 AM","Citywide Home Loans, LLC","10,432","Ransomware","2,407","Finance",,"2,021","2021","1,000-9,999","1-99","0","11","11","true","11",,"true","110","1-99",
"2021 Feb 24 12:00:00 AM","2021 Mar 22 12:00:00 AM","Theft or Mistake","2021 Feb 22 12:00:00 AM","2021 Feb 24 12:00:00 AM","On Q Fiancial, Inc.","10,433",,"18,066","Finance",,"2,021","2021","10,000-49,999","1-99","0","2","2","true","2",,"true","26","1-99",
"2020 Dec 04 12:00:00 AM","2021 Mar 24 12:00:00 AM","Cyberattack","2019 Feb 06 12:00:00 AM","2020 Dec 10 12:00:00 AM","National Wildlife Federation","10,434","Malware","3,311","Non-Profit/Charity",,"2,021","2021","1,000-9,999","500+","6","667","673","true","673",,"false","110","500+",
"2021 Mar 02 12:00:00 AM","2021 Apr 01 12:00:00 AM","Cyberattack","2021 Feb 01 12:00:00 AM",,"MHNext, LLC","10,435","Unclear/unknown","7,714","Business","Software","2,021","2021","1,000-9,999","Unknown",,"29",,"false",,,"false","30","Unknown",
"2020 Aug 14 12:00:00 AM","2021 Apr 02 12:00:00 AM","Cyberattack",,,"FPI Management","10,436","Unclear/unknown","1,022","Business","Real Estate","2,021","2021","1,000-9,999","Unknown",,,,"false",,,"false","231","Unknown",
"2021 Jan 07 12:00:00 AM","2021 Apr 02 12:00:00 AM","Cyberattack","2020 Mar 01 12:00:00 AM","2021 Jan 07 12:00:00 AM","Slate & Tell, LLC","10,437","Malware","624","Business","Accessories","2,021","2021","500-999","300-399","0","312","312","true","312",,"true","85","300-399",
"2021 Jan 27 12:00:00 AM","2021 Apr 06 12:00:00 AM","Cyberattack","2020 Feb 07 12:00:00 AM","2020 May 20 12:00:00 AM","Marines' Memorial Association & Foundation","10,438","Ransomware","2,625","Non-Profit/Charity",,"2,021","2021","1,000-9,999","300-399","0","355","355","false","103","252","false","69","100-199",
